year,borough,wnv_cases
2023,bronx,2
2023,brooklyn,8
2023,manhattan,5
2023,queens,9
2023,staten_island,8
2022,bronx,1
2022,brooklyn,6
2022,manhattan,6
2022,queens,13
2022,staten_island,10
2021,bronx,4
2021,brooklyn,3
2021,manhattan,4
2021,queens,9
2021,staten_island,1
2020,bronx,0
2020,brooklyn,1
2020,manhattan,3
2020,queens,2
2020,staten_island,1
2019,bronx,0
2019,brooklyn,3
2019,manhattan,0
2019,queens,4
2019,staten_island,3
2018,bronx,4
2018,brooklyn,7
2018,manhattan,6
2018,queens,18
2018,staten_island,1
2017,bronx,0
2017,brooklyn,9
2017,manhattan,4
2017,queens,8
2017,staten_island,0
2016,bronx,0
2016,brooklyn,2
2016,manhattan,0
2016,queens,2
2016,staten_island,2
2015,bronx,2
2015,brooklyn,12
2015,manhattan,1
2015,queens,17
2015,staten_island,6
2014,bronx,1
2014,brooklyn,5
2014,manhattan,2
2014,queens,5
2014,staten_island,2
2013,bronx,1
2013,brooklyn,3
2013,manhattan,0
2013,queens,2
2013,staten_island,4
2012,bronx,4
2012,brooklyn,12
2012,manhattan,9
2012,queens,10
2012,staten_island,6
2011,bronx,2
2011,brooklyn,2
2011,manhattan,2
2011,queens,5
2011,staten_island,0
2010,bronx,7
2010,brooklyn,6
2010,manhattan,6
2010,queens,14
2010,staten_island,9
2009,bronx,1
2009,brooklyn,1
2009,manhattan,0
2009,queens,1
2009,staten_island,0
2008,bronx,1
2008,brooklyn,3
2008,manhattan,1
2008,queens,5
2008,staten_island,5
2007,bronx,2
2007,brooklyn,7
2007,manhattan,1
2007,queens,7
2007,staten_island,1
2006,bronx,1
2006,brooklyn,0
2006,manhattan,1
2006,queens,2
2006,staten_island,8
2005,bronx,3
2005,brooklyn,3
2005,manhattan,1
2005,queens,5
2005,staten_island,2
2004,bronx,0
2004,brooklyn,0
2004,manhattan,3
2004,queens,1
2004,staten_island,1
2003,bronx,6
2003,brooklyn,8
2003,manhattan,3
2003,queens,11
2003,staten_island,4
2002,bronx,9
2002,brooklyn,2
2002,manhattan,2
2002,queens,12
2002,staten_island,4
2001,bronx,0
2001,brooklyn,2
2001,manhattan,3
2001,queens,2
2001,staten_island,2
2000,bronx,0
2000,brooklyn,2
2000,manhattan,1
2000,queens,1
2000,staten_island,10
1999,bronx,9
1999,brooklyn,3
1999,manhattan,1
1999,queens,34
1999,staten_island,0
