zip_code,borough,date,neighborhood
10019,Manhattan,2024-07-18,Chelsea and Clinton
10019,Manhattan,2024-07-25,Chelsea and Clinton
10019,Manhattan,2024-08-01,Chelsea and Clinton
10019,Manhattan,2024-08-08,Chelsea and Clinton
10019,Manhattan,2024-08-16,Chelsea and Clinton
10002,Manhattan,2024-07-12,Lower East Side
10002,Manhattan,2024-07-18,Lower East Side
10002,Manhattan,2024-07-25,Lower East Side
10002,Manhattan,2024-08-01,Lower East Side
10002,Manhattan,2024-08-08,Lower East Side
10002,Manhattan,2024-08-16,Lower East Side
10002,Manhattan,2024-08-23,Lower East Side
10006,Manhattan,2024-07-18,Lower Manhattan
10006,Manhattan,2024-07-25,Lower Manhattan
10006,Manhattan,2024-08-01,Lower Manhattan
10006,Manhattan,2024-08-08,Lower Manhattan
10006,Manhattan,2024-08-15,Lower Manhattan
10010,Manhattan,2024-07-18,Gramercy Park and Murray Hill
10010,Manhattan,2024-07-25,Gramercy Park and Murray Hill
10010,Manhattan,2024-08-01,Gramercy Park and Murray Hill
10010,Manhattan,2024-08-08,Gramercy Park and Murray Hill
10010,Manhattan,2024-08-15,Gramercy Park and Murray Hill
10011,Manhattan,2024-07-18,Chelsea and Clinton
10011,Manhattan,2024-07-25,Chelsea and Clinton
10011,Manhattan,2024-08-01,Chelsea and Clinton
10011,Manhattan,2024-08-08,Chelsea and Clinton
10011,Manhattan,2024-08-16,Chelsea and Clinton
10013,Manhattan,2024-08-25,Greenwich Village and Soho
10013,Manhattan,2024-09-05,Greenwich Village and Soho
10025,Manhattan,2024-07-03,Upper West Side
10025,Manhattan,2024-07-11,Upper West Side
10025,Manhattan,2024-07-18,Upper West Side
10025,Manhattan,2024-07-25,Upper West Side
10025,Manhattan,2024-08-01,Upper West Side
10025,Manhattan,2024-08-08,Upper West Side
10025,Manhattan,2024-08-15,Upper West Side
10025,Manhattan,2024-08-25,Upper West Side
10025,Manhattan,2024-08-29,Upper West Side
10026,Manhattan,2024-08-26,Central Harlem
10027,Manhattan,2024-07-11,Central Harlem
10027,Manhattan,2024-07-18,Central Harlem
10027,Manhattan,2024-07-25,Central Harlem
10027,Manhattan,2024-08-01,Central Harlem
10027,Manhattan,2024-08-08,Central Harlem
10027,Manhattan,2024-08-15,Central Harlem
10031,Manhattan,2024-07-11,Inwood and Washington Heights
10031,Manhattan,2024-07-18,Inwood and Washington Heights
10031,Manhattan,2024-07-25,Inwood and Washington Heights
10031,Manhattan,2024-08-01,Inwood and Washington Heights
10031,Manhattan,2024-08-08,Inwood and Washington Heights
10031,Manhattan,2024-08-15,Inwood and Washington Heights
10032,Manhattan,2024-07-03,Inwood and Washington Heights
10032,Manhattan,2024-07-11,Inwood and Washington Heights
10032,Manhattan,2024-07-18,Inwood and Washington Heights
10032,Manhattan,2024-07-25,Inwood and Washington Heights
10032,Manhattan,2024-08-01,Inwood and Washington Heights
10032,Manhattan,2024-08-08,Inwood and Washington Heights
10032,Manhattan,2024-08-15,Inwood and Washington Heights
10032,Manhattan,2024-08-28,Inwood and Washington Heights
10034,Manhattan,2024-08-16,Inwood and Washington Heights
10301,Staten Island,2024-06-27,Stapleton and St. George
10301,Staten Island,2024-07-03,Stapleton and St. George
10301,Staten Island,2024-07-11,Stapleton and St. George
10301,Staten Island,2024-07-18,Stapleton and St. George
10301,Staten Island,2024-08-02,Stapleton and St. George
10301,Staten Island,2024-08-08,Stapleton and St. George
10301,Staten Island,2024-08-09,Stapleton and St. George
10301,Staten Island,2024-08-15,Stapleton and St. George
10301,Staten Island,2024-08-22,Stapleton and St. George
10301,Staten Island,2024-08-29,Stapleton and St. George
10302,Staten Island,2024-07-25,Port Richmond
10302,Staten Island,2024-08-01,Port Richmond
10302,Staten Island,2024-08-08,Port Richmond
10303,Staten Island,2024-07-03,Port Richmond
10303,Staten Island,2024-07-11,Port Richmond
10303,Staten Island,2024-07-18,Port Richmond
10303,Staten Island,2024-07-25,Port Richmond
10303,Staten Island,2024-08-01,Port Richmond
10303,Staten Island,2024-08-08,Port Richmond
10303,Staten Island,2024-08-09,Port Richmond
10303,Staten Island,2024-08-15,Port Richmond
10304,Staten Island,2024-07-22,Stapleton and St. George
10305,Staten Island,2024-07-02,Stapleton and St. George
10305,Staten Island,2024-07-15,Stapleton and St. George
10305,Staten Island,2024-07-16,Stapleton and St. George
10305,Staten Island,2024-07-22,Stapleton and St. George
10305,Staten Island,2024-07-29,Stapleton and St. George
10305,Staten Island,2024-08-05,Stapleton and St. George
10305,Staten Island,2024-08-07,Stapleton and St. George
10305,Staten Island,2024-08-12,Stapleton and St. George
10305,Staten Island,2024-08-19,Stapleton and St. George
10305,Staten Island,2024-08-26,Stapleton and St. George
10306,Staten Island,2024-06-25,South Shore
10306,Staten Island,2024-07-22,South Shore
10306,Staten Island,2024-07-26,South Shore
10306,Staten Island,2024-07-02,South Shore
10306,Staten Island,2024-07-08,South Shore
10306,Staten Island,2024-07-09,South Shore
10306,Staten Island,2024-07-15,South Shore
10306,Staten Island,2024-07-16,South Shore
10306,Staten Island,2024-07-17,South Shore
10306,Staten Island,2024-07-18,South Shore
10307,Staten Island,2024-06-25,South Shore
10307,Staten Island,2024-08-20,South Shore
10307,Staten Island,2024-08-27,South Shore
10307,Staten Island,2024-07-02,South Shore
10307,Staten Island,2024-07-08,South Shore
10307,Staten Island,2024-07-15,South Shore
10307,Staten Island,2024-07-23,South Shore
10307,Staten Island,2024-07-24,South Shore
10307,Staten Island,2024-07-30,South Shore
10307,Staten Island,2024-08-13,South Shore
10308,Staten Island,2024-07-08,South Shore
10308,Staten Island,2024-07-15,South Shore
10308,Staten Island,2024-07-16,South Shore
10308,Staten Island,2024-07-22,South Shore
10308,Staten Island,2024-07-30,South Shore
10308,Staten Island,2024-08-05,South Shore
10309,Staten Island,2024-06-21,South Shore
10309,Staten Island,2024-06-27,South Shore
10309,Staten Island,2024-07-02,South Shore
10309,Staten Island,2024-07-03,South Shore
10309,Staten Island,2024-07-06,South Shore
10309,Staten Island,2024-07-08,South Shore
10309,Staten Island,2024-07-12,South Shore
10309,Staten Island,2024-07-15,South Shore
10309,Staten Island,2024-07-18,South Shore
10309,Staten Island,2024-07-24,South Shore
10310,Staten Island,2024-07-03,Port Richmond
10310,Staten Island,2024-07-11,Port Richmond
10310,Staten Island,2024-07-18,Port Richmond
10310,Staten Island,2024-07-22,Port Richmond
10310,Staten Island,2024-07-24,Port Richmond
10310,Staten Island,2024-07-25,Port Richmond
10310,Staten Island,2024-08-01,Port Richmond
