zip_code,borough,detection_type,date1,date2,date3,date4,date5,date6,date7,date8,date9,date10,date11,date12,date13,date14,date15,date16,date17,date18,date19,date20,date21,date22,date23
10019,Manhattan,Detected,7/18/2024, 7/25/2024, 8/1/2024, 8/8/2024, 8/16/2024,,,,,,,,, ,,,,,,,,,
10001,Manhattan,None detected,,,,,,,,,,,,,,,,,,,,,,,
10002,Manhattan,Detected,7/12/2024, 7/18/2024, 7/25/2024, 8/1/2024, 8/8/2024, 8/16/2024, 8/23/2024,,,,,,, ,,,,,,,,,
10003,Manhattan,None detected,,,,,,,,,,,,,,,,,,,,,,,
10004,Manhattan,None detected,,,,,,,,,,,,,,,,,,,,,,,
10005,Manhattan,None detected,,,,,,,,,,,,,,,,,,,,,,,
10006,Manhattan,Detected,7/18/2024, 7/25/2024, 8/1/2024, 8/8/2024, 8/15/2024,,,,,,, ,,,,,,,,,,,
10007,Manhattan,None detected,,,,,,,,,,,,,,,,,,,,,,,
10009,Manhattan,None detected,,,,,,,,,,,,,,,,,,,,,,,
10010,Manhattan,Detected,7/18/2024, 7/25/2024, 8/1/2024, 8/8/2024, 8/15/2024,,,,,,,,,,,,,,,,,,
10011,Manhattan,Detected,7/18/2024, 7/25/2024, 8/1/2024, 8/8/2024, 8/16/2024,,,,,,, ,,,,,,,,,,,
10012,Manhattan,None detected,,,,,,,,,,,,,,,,,,,,,,,
10013,Manhattan,Detected,8/25/2024, 9/5/2024,,,,,,, ,,,,,,,,,,,,,,
10014,Manhattan,None detected,,,,,,,,,,,,,,,,,,,,,,,
10016,Manhattan,None detected,,,,,,,,,,,,,,,,,,,,,,,
10017,Manhattan,None detected,,,,,,,,,,,,,,,,,,,,,,,
10018,Manhattan,None detected,,,,,,,,,,,,,,,,,,,,,,,
10019,Manhattan,None detected,,,,,,,,,,,,,,,,,,,,,,,
10020,Manhattan,None detected,,,,,,,,,,,,,,,,,,,,,,,
10021,Manhattan,None detected,,,,,,,,,,,,,,,,,,,,,,,
10022,Manhattan,None detected,,,,,,,,,,,,,,,,,,,,,,,
10023,Manhattan,None detected,,,,,,,,,,,,,,,,,,,,,,,
10024,Manhattan,None detected,,,,,,,,,,,,,,,,,,,,,,,
10025,Manhattan,Detected,7/3/2024, 7/11/2024, 7/18/2024, 7/25/2024, 8/1/2024, 8/8/2024, 8/15/2024, 8/25/2024, 8/29/2024,,,,,,, ,,,,,,,
10026,Manhattan,Detected,8/26/2024, ,,,,,,,,,,,,,,,,,,,,,
10027,Manhattan,Detected,7/11/2024, 7/18/2024, 7/25/2024, 8/1/2024, 8/8/2024, 8/15/2024,,,,,,,,,,,,,,,,,
10028,Manhattan,None detected,,,,,,,,,,,,,,,,,,,,,,,
10029,Manhattan,None detected,,,,,,,,,,,,,,,,,,,,,,,
10030,Manhattan,None detected,,,,,,,,,,,,,,,,,,,,,,,
10031,Manhattan,Detected,7/11/2024, 7/18/2024, 7/25/2024, 8/1/2024, 8/8/2024, 8/15/2024,,,,,,,,,,,,,,,,,
10032,Manhattan,Detected,7/3/2024, 7/11/2024, 7/18/2024, 7/25/2024, 8/1/2024, 8/8/2024, 8/15/2024, 8/28/2024,,,,,,, ,  ,,,,,,,
10033,Manhattan,None detected,,,,,,,,,,,,,,,,,,,,,,,
10034,Manhattan,Detected,8/16/2024,,,,,,,,,,,,,,,,,,,,,,
10035,Manhattan,None detected,,,,,,,,,,,,,,,,,,,,,,,
10036,Manhattan,None detected,,,,,,,,,,,,,,,,,,,,,,,
10037,Manhattan,None detected,,,,,,,,,,,,,,,,,,,,,,,
10038,Manhattan,None detected,,,,,,,,,,,,,,,,,,,,,,,
10039,Manhattan,None detected,,,,,,,,,,,,,,,,,,,,,,,
10040,Manhattan,None detected,,,,,,,,,,,,,,,,,,,,,,,
10044,Manhattan,None detected,,,,,,,,,,,,,,,,,,,,,,,
10048,Manhattan,None detected,,,,,,,,,,,,,,,,,,,,,,,
10065,Manhattan,None detected,,,,,,,,,,,,,,,,,,,,,,,
10069,Manhattan,None detected,,,,,,,,,,,,,,,,,,,,,,,
10075,Manhattan,None detected,,,,,,,,,,,,,,,,,,,,,,,
10111,Manhattan,None detected,,,,,,,,,,,,,,,,,,,,,,,
10115,Manhattan,None detected,,,,,,,,,,,,,,,,,,,,,,,
10128,Manhattan,None detected,,,,,,,,,,,,,,,,,,,,,,,
10280,Manhattan,None detected,,,,,,,,,,,,,,,,,,,,,,,
10281,Manhattan,None detected,,,,,,,,,,,,,,,,,,,,,,,
10282,Manhattan,None detected,,,,,,,,,,,,,,,,,,,,,,,
10301,Staten Island,Detected,6/27/2024, 7/3/2024, 7/11/2024, 7/18/2024, 8/2/2024, 8/8/2024, 8/9/2024, 8/15/2024, 8/22/2024, 8/29/2024,,,,,,, ,,,,,,
10302,Staten Island,Detected,7/25/2024, 8/1/2024, 8/8/2024,,,,,,, ,,,,,,,,,,,,,
10303,Staten Island,Detected,7/3/2024, 7/11/2024, 7/18/2024, 7/25/2024, 8/1/2024, 8/8/2024, 8/9/2024, 8/15/2024,,,,,,,, ,  ,,,,,,
