name,latitude,longitude,yearmoda,temp,max,min,prcp,dewp,year
Wall St,40.701,-74.009,2021-01-01,38.48,48.02,35.96,0.070078778,-2.6,2021
Wall St,40.701,-74.009,2021-01-02,43.16,53.96,35.96,0.009842525,2.7,2021
Wall St,40.701,-74.009,2021-01-03,38.48,53.96,37.04,0,0.2,2021
Wall St,40.701,-74.009,2021-01-04,39.74,46.04,37.04,0,1.3,2021
Wall St,40.701,-74.009,2021-01-05,39.92,46.04,37.04,0,0,2021
Wall St,40.701,-74.009,2021-01-06,39.74,46.04,37.04,0.009842525,-1.8,2021
Wall St,40.701,-74.009,2021-01-07,38.12,46.94,33.08,0.020078751,-4.6,2021
Wall St,40.701,-74.009,2021-01-08,34.52,46.94,30.02,0,-4.5,2021
Wall St,40.701,-74.009,2021-01-09,33.62,39.92,26.96,0,-6.5,2021
Wall St,40.701,-74.009,2021-01-10,37.22,46.94,26.96,0,-6.1,2021
Wall St,40.701,-74.009,2021-01-11,34.88,46.94,30.92,0,-4.7,2021
Wall St,40.701,-74.009,2021-01-12,38.12,48.02,32,0,-3.2,2021
Wall St,40.701,-74.009,2021-01-13,39.38,48.02,32,0,-2.8,2021
Wall St,40.701,-74.009,2021-01-14,42.980000000000004,51.98,35.96,0,-0.6,2021
Wall St,40.701,-74.009,2021-01-15,42.620000000000005,51.98,37.94,0,2.4,2021
Wall St,40.701,-74.009,2021-01-16,44.06,46.94,39.02,0.579921573,4.1,2021
Wall St,40.701,-74.009,2021-01-17,40.1,46.94,35.96,0.009842525,-2.7,2021
Wall St,40.701,-74.009,2021-01-18,42.08,48.02,35.96,0,-2.2,2021
Wall St,40.701,-74.009,2021-01-19,38.660000000000004,48.02,35.06,0,-3.7,2021
Wall St,40.701,-74.009,2021-01-20,37.4,44.06,33.08,0.009842525,-5.1,2021
Wall St,40.701,-74.009,2021-01-21,33.62,44.06,26.96,0,-7.1,2021
Wall St,40.701,-74.009,2021-01-22,40.46,46.04,26.96,0,-4,2021
Wall St,40.701,-74.009,2021-01-23,34.16,46.04,28.94,0,-9.7,2021
Wall St,40.701,-74.009,2021-01-24,29.12,37.04,24.08,0,-12.1,2021
Wall St,40.701,-74.009,2021-01-25,32.18,41,24.08,0,-9.2,2021
Wall St,40.701,-74.009,2021-01-26,35.06,41,26.060000000000002,0,-4.3,2021
Wall St,40.701,-74.009,2021-01-27,36.68,39.92,33.08,0,-1.3,2021
Wall St,40.701,-74.009,2021-01-28,32.9,39.92,26.96,0,-7.9,2021
Wall St,40.701,-74.009,2021-01-29,24.08,37.94,17.96,0,-13.6,2021
Wall St,40.701,-74.009,2021-01-30,25.34,37.94,17.96,0,-12.3,2021
Wall St,40.701,-74.009,2021-01-31,26.42,37.94,19.04,0,-8.9,2021
Wall St,40.701,-74.009,2021-02-01,28.94,33.98,24.08,0.029921276,-3.3,2021
Wall St,40.701,-74.009,2021-02-02,33.08,35.06,24.98,0.140157556,-0.9,2021
Wall St,40.701,-74.009,2021-02-03,33.98,39.02,30.02,0.009842525,-2.8,2021
Wall St,40.701,-74.009,2021-02-04,37.04,46.94,30.02,0,-5.2,2021
Wall St,40.701,-74.009,2021-02-05,40.46,50,32,0,-1.2,2021
Wall St,40.701,-74.009,2021-02-06,39.2,50,33.08,0,-6,2021
Wall St,40.701,-74.009,2021-02-07,36.14,44.96,32,0,-3.3,2021
Wall St,40.701,-74.009,2021-02-08,27.32,39.02,19.04,0,-9.1,2021
Wall St,40.701,-74.009,2021-02-09,31.28,35.06,19.04,0,-4.7,2021
Wall St,40.701,-74.009,2021-02-10,31.28,37.94,26.96,0,-5.6,2021
Wall St,40.701,-74.009,2021-02-11,33.44,33.98,33.08,0,-6.2,2021
Wall St,40.701,-74.009,2021-02-13,29.66,30.92,28.04,0,-9.8,2021
Wall St,40.701,-74.009,2021-02-14,33.08,39.02,28.04,0,-3.9,2021
Wall St,40.701,-74.009,2021-02-15,35.24,39.02,28.94,0,-3.1,2021
Wall St,40.701,-74.009,2021-02-16,41.36,51.98,33.08,0.37007894,2.6,2021
Wall St,40.701,-74.009,2021-02-17,31.82,51.98,24.98,0.009842525,-10.4,2021
Wall St,40.701,-74.009,2021-02-18,29.84,37.04,24.98,0,-7.3,2021
Wall St,40.701,-74.009,2021-02-19,29.66,32,26.060000000000002,0.040157502,-2.6,2021
Wall St,40.701,-74.009,2021-02-21,38.12,39.92,33.98,0,-8.6,2021
Wall St,40.701,-74.009,2021-02-22,33.8,39.92,24.98,0.37007894,-3.4,2021
Wall St,40.701,-74.009,2021-02-23,37.76,44.06,32,0,-0.2,2021
Wall St,40.701,-74.009,2021-02-24,45.5,55.94,35.06,0,-0.9,2021
Wall St,40.701,-74.009,2021-02-25,47.120000000000005,55.94,39.02,0,-3.5,2021
Wall St,40.701,-74.009,2021-02-26,40.46,51.98,35.06,0,-6.6,2021
Wall St,40.701,-74.009,2021-02-27,43.34,50,35.06,0.009842525,2.9,2021
Wall St,40.701,-74.009,2021-02-28,42.260000000000005,50,39.92,0.140157556,2,2021
Wall St,40.701,-74.009,2021-03-01,42.980000000000004,48.02,39.2,0.140157556,2.9,2021
Wall St,40.701,-74.009,2021-03-02,32,48.02,23,0.020078751,-12.9,2021
Wall St,40.701,-74.009,2021-03-03,39.38,53.06,23,0,-7.2,2021
Wall St,40.701,-74.009,2021-03-04,42.620000000000005,53.06,32,0,-4.3,2021
Wall St,40.701,-74.009,2021-03-05,32.36,46.04,24.98,0,-12.9,2021
Wall St,40.701,-74.009,2021-03-06,34.52,42.08,24.98,0,-9.9,2021
Wall St,40.701,-74.009,2021-03-07,35.06,44.96,30.02,0,-9.2,2021
Wall St,40.701,-74.009,2021-03-08,35.78,46.04,28.04,0,-10.2,2021
Wall St,40.701,-74.009,2021-03-09,48.56,66.02,28.04,0,-4.8,2021
Wall St,40.701,-74.009,2021-03-10,48.02,66.02,39.02,0,0.1,2021
Wall St,40.701,-74.009,2021-03-11,52.34,71.96,41,0,5,2021
Wall St,40.701,-74.009,2021-03-12,61.7,69.98,57.02,0,1.8,2021
Wall St,40.701,-74.009,2021-03-13,46.04,71.06,33.98,0,-8.9,2021
Wall St,40.701,-74.009,2021-03-14,46.04,55.04,33.98,0,-8.1,2021
Wall St,40.701,-74.009,2021-03-15,34.34,55.04,26.060000000000002,0,-14.5,2021
Wall St,40.701,-74.009,2021-03-16,34.52,44.06,26.060000000000002,0,-10,2021
Wall St,40.701,-74.009,2021-03-17,39.74,46.4,35.6,0,0.6,2021
Wall St,40.701,-74.009,2021-03-18,44.06,46.04,35.96,0.359842714,4.9,2021
Wall St,40.701,-74.009,2021-03-19,40.82,46.94,33.98,0.090157529,-5.8,2021
Wall St,40.701,-74.009,2021-03-20,44.06,59,33.98,0,-6.9,2021
Wall St,40.701,-74.009,2021-03-21,49.28,62.059999999999995,35.06,0,-2.6,2021
Wall St,40.701,-74.009,2021-03-22,48.92,62.059999999999995,39.02,0,1.2,2021
Wall St,40.701,-74.009,2021-03-23,50.18,62.959999999999994,41,0,4.9,2021
Wall St,40.701,-74.009,2021-03-24,50.9,62.959999999999994,42.980000000000004,0.6299216,7.4,2021
Wall St,40.701,-74.009,2021-03-25,53.78,64.04,46.04,0.22992138399999998,10.7,2021
Wall St,40.701,-74.009,2021-03-26,61.88,78.98,48.02,0.009842525,10.7,2021
Wall St,40.701,-74.009,2021-03-27,57.2,78.98,50,0,4.2,2021
Wall St,40.701,-74.009,2021-03-28,54.68,68,48.92,0.20000010799999998,9.2,2021
Wall St,40.701,-74.009,2021-03-29,52.16,62.959999999999994,46.04,0.070078778,-0.2,2021
Wall St,40.701,-74.009,2021-03-30,51.08,59,44.06,0,-1.4,2021
Wall St,40.701,-74.009,2021-03-31,54.86,62.959999999999994,44.06,0.020078751,9.1,2021
Wall St,40.701,-74.009,2021-04-01,49.28,62.959999999999994,42.08,0.279921411,3.9,2021
Wall St,40.701,-74.009,2021-04-02,37.4,57.02,30.02,0,-7.9,2021
Wall St,40.701,-74.009,2021-04-03,42.08,57.02,30.02,0.009842525,-9.4,2021
Wall St,40.701,-74.009,2021-04-04,50.9,60.980000000000004,33.08,0,-2.2,2021
Wall St,40.701,-74.009,2021-04-05,57.74,69.98,44.96,0,-2.9,2021
Wall St,40.701,-74.009,2021-04-06,58.1,71.96,46.94,0,-5.6,2021
Wall St,40.701,-74.009,2021-04-07,59.18,71.96,46.94,0,0.6,2021
Wall St,40.701,-74.009,2021-04-08,56.66,69.98,48.02,0,4.9,2021
Wall St,40.701,-74.009,2021-04-09,51.620000000000005,66.92,48.02,0,6.9,2021
Wall St,40.701,-74.009,2021-04-10,53.96,64.04,48.02,0,9.3,2021
Wall St,40.701,-74.009,2021-04-11,54.32,64.04,48.92,0.07992130299999999,11.5,2021
Wall St,40.701,-74.009,2021-04-12,47.66,57.02,46.04,0.140157556,6.2,2021
Wall St,40.701,-74.009,2021-04-13,52.52,66.92,46.04,0.29015763699999997,5.4,2021
Wall St,40.701,-74.009,2021-04-14,56.120000000000005,69.98,46.04,0,7,2021
Wall St,40.701,-74.009,2021-04-15,53.96,69.98,46.94,0.279921411,9.9,2021
Wall St,40.701,-74.009,2021-04-16,48.02,55.94,42.08,0.020078751,3.8,2021
Wall St,40.701,-74.009,2021-04-17,49.46,57.02,42.08,0,2.8,2021
Wall St,40.701,-74.009,2021-04-18,54.32,64.04,44.06,0,3.3,2021
Wall St,40.701,-74.009,2021-04-19,57.379999999999995,64.94,48.92,0,4.9,2021
Wall St,40.701,-74.009,2021-04-20,60.440000000000005,73.04,51.08,0,6.1,2021
Wall St,40.701,-74.009,2021-04-21,58.28,73.04,46.04,0.070078778,5.7,2021
Wall St,40.701,-74.009,2021-04-22,43.519999999999996,50,37.94,0.009842525,-5.5,2021
Wall St,40.701,-74.009,2021-04-23,50.54,66.02,37.94,0.009842525,-4.8,2021
Wall St,40.701,-74.009,2021-04-24,58.459999999999994,71.06,41,0,0.7,2021
